Title,Year & Authors,Application Domain,Dataset,Architecture,Wavelet / Pooling Technique,Quantitative Results,Outcomes,Main Contribution / Innovation,Model Robustness,Limitations,Loss Function,Training Strategy,GAN Variant,Discriminator / Generator Type,Pooling Layer / Wavelet Location,Comparative Analysis,Input Size / Resolution,Baseline for Comparison,Layer Composition,Code Availability,Cross-Dataset Generalization,Complexity and Scalability,Optimization Algorithms,Training Dynamics / Regularization / Convergence,Feature Representation / Extraction,,,,,,,,,,,,,
A cross-modal high-resolution image generation approach based on cloud-terminal collaboration for low-altitude intelligent network,"2024, Jiao et al.",Cross-modal high-resolution image generation for Low Altitude Intelligent Networking (LAIN),"SEN1-2 dataset (22,500 training pairs, 2,625 test pairs)","DR-MFGAN (Downscaling Reconstruction Multi-scale Locally Focused GAN), based on CycleGAN","Wavelet transform (Morlet wavelet, VisuShrink thresholding) applied for downscaling, denoising, and cleaning in a dedicated Zero-shot Downscaling Reconstruction Module (ZDRM)","Speckle noise: PSNR >5% above baselines; MSE reduced by 18.18%, PSNR increased by 33.52%, LPIPS improved by 39.54%; input image quantitative metrics: PSNR up to 16.258, SSIM up to 0.151, LPIPS down to 0.454, MSE down to 5507.97, HIST up to 0.704 on SEN1-2","Achieved high-quality, robust, and precise cross-modal image generation from SAR to visible light, especially at edge nodes with limited data; surpassed baselines in denoising and image generation; supports latency-sensitive missions in LAIN.","Integrated zero-shot downscaling denoising (ZDRM) with wavelet transform, multi-scale residual learning (MRL) using Res2Net modules, TripletAttention for cross-channel local focusing, and federated learning for cloud-edge collaboration.","Demonstrated strong robustness with federated learning: model performs well with limited/noisy data on edge devices, stable convergence after multiple weight integrations, and comparable performance to original models trained on full data; sensitive to extremely high noise or small/specialized datasets.","Limitations: Fluctuating loss function during federated learning when data is scarce or non-uniform; generalization beyond SAR-RGB needs further validation (e.g., infrared, point cloud); federated learning paradigm could benefit from improved global aggregation methods; desert image color bias due to few samples.","Adversarial (GAN) loss, cycle consistency loss (L1), feature matching loss, residual and consistency loss in denoising module.",Unsupervised for image translation; federated (distributed) learning for model updates; no labels required for denoising; local training on edge with aggregated updates in cloud.,CycleGAN (unsupervised image-to-image translation); customized into DR-MFGAN and MFGAN variants.,"Generator: Res2Net-based with multi-scale residual blocks, TripletAttention (encoder), Conv-InstanceNorm-LeakyReLU (CIL); Decoder: ReflectionPad2d + CIL; Discriminator: not explicitly specified (classic PatchGAN structure implied).",Wavelet transform and downscaling cleaning in Zero-shot Downscaling Reconstruction Module (prior to generator); TripletAttention in generator encoder.,"Comprehensive comparisons: Outperforms BM3D, NB2NB, ZS-N2N for denoising; exceeds DivCo-DRIT, Pix2Pix, starGAN, U-gat-it, NICE-GAN in fusion/generation; ablation shows CLF, MRB, and ZDRM modules increase all metrics.","Input images resized to 512×512 pixels, generator input 256×256×3 (internal resolution up to 262×262×3).","Baselines: BM3D, NB2NB, ZS-N2N, convolutional neural networks, transformers, GANs (Pix2Pix, DivCo-DRIT, starGAN, U-gat-it, NICE-GAN), and ablations.","Composed of downscaling module (convolutional kernels for image pair splitting), wavelet transform, VisuShrink thresholding, symmetric residual learning blocks (Res2Net), attention blocks (TripletAttention), encoder-decoder with Conv, InstanceNorm, LeakyReLU, ReflectionPad2d; nine multi-scale residual blocks between encoder and decoder.",Not specified,Tested on SAR-to-RGB only; generalization to other modalities and datasets stated as future work; desert images with limited samples result in color bias.,Discusses reduced time/data cost and local training on resource-constrained Jetson AGX Xavier devices with batch size 1; improved scalability with federated learning for multiple edge nodes; cloud-server aggregation enables parallelism.,"SGD optimizer with momentum 0.7, weight decay 6×10⁻⁴, initial learning rate 0.2; batch sizes (training: 4 in main experiments, 1 on Jetson edge devices); learning rate reduced on plateau.","Reports stable convergence trends with federated learning after ~10 rounds; loss stabilization with weight aggregation; minor instability when data is extremely scarce, but overall robust; regularization assisted by residual learning and attention; no explicit mention of dropout or similar regularization.","Highlights feature extraction improvement via multi-scale residual modules (Res2Net), cross-channel and spatial feature aggregation (TripletAttention), explicit wavelet-frequency feature extraction, and local/global attention; improved retention of details, local regions, and noise suppression.",,,,,,,,,,,,,
A denoising model for MC rendered images based on fusion kernel prediction and generation of adversarial networks,"2024, Yang et al.",Denoising of Monte Carlo rendered images,"Over 14,000 different scenes generated by the Tungsten renderer, scaled to 128×128 pixels",GAN integrated with Kernel Prediction Network (KPN),Haar Wavelet Transform applied in encoder and decoder for high-frequency noise suppression and recovery of fine details,"PSNR: up to 42.24, SSIM: up to 0.98, RMSE: as low as 0.015 (best cases for 'Ours' in scenarios)",Model effectively reduces noise in MC rendered images while better preserving fine details and outperforms previous methods in both visual quality and objective metrics,Combines GAN and Kernel Prediction Network with a multi-scale feature module and wavelet transform for enhanced detail preservation and noise reduction,"Demonstrated robustness via ablation studies (multi-scale modules, wavelet transforms, and shallow kernel predictor), maintains performance across diverse image scenarios",No explicit shortcomings discussed; some mention of possible future research directions and inherent challenges in fine detail preservation,Generator: cross-entropy loss + L1 reconstruction loss; Discriminator: adversarial loss using cross-entropy,Supervised training,"cGAN (conditional GAN, implied by auxiliary feature input); not specifically named as cGAN but cited in referenced works",Discriminator based on VGG16 with average pooling and linear layers; Generator composed of triplet encoder-decoder structure with multi-scale and kernel prediction modules,Wavelet transform in encoder before last convolution; inverse wavelet transform before first decoder layer,"Compares with ACFM, DMCR, DMCG, WSKN; demonstrates higher PSNR/SSIM, lower RMSE; ablation studies for modules (wavelet, multi-scale, kernel predictor)",128×128 pixels,"Compared against ACFM, DMCR, DMCG, WSKN","Conv-LeakyReLU stacks in encoder/decoder (kernel sizes 3 and 1), skip connections, multi-scale module with dilated convolutions, decoder block with residual and deformable convolutions, 3-layer shallow kernel predictor",Not specified,Not specified,Discusses feasibility and stability of shallow kernel prediction network for optimization and reduced parameters; no explicit scalability analysis,AdamW used for optimization for both generator and discriminator,CNN regularization via skip connections and multi-scale modules; ablation studies confirm effective convergence and improved stability with wavelet/multi-scale modules,"Multi-scale feature extraction (dilated convolutions), Haar wavelet features, auxiliary features (normals, albedo, depth) for richer representation",,,,,,,,,,,,,
Adaptive Image Compression Using GAN based Semantic-perceptual Residual Compensation,"2021, Wang et al.",Image compression,"ImageNet (30,000 images for training), Kodak PhotoCD (24 images for testing)","GAN-based Dense Auto-encoder (GDAE), U-shaped encoder-decoder","Strip pooling in encoder and decoder, dense residual connections, soft quantization (vector), Grad-CAM-based semantic heat maps","PSNR: 33.8, MS-SSIM (dB): 20.1 (Kodak at ~0.5bpp), Run Time: 912ms (GDAE+SPRC)","Achieves state-of-the-art or better visual quality at low bitrate; better PSNR, MS-SSIM, and sharper details compared to BPG, JPEG, JPEG2000, Balle's, and Lee's methods; effective semantic-aware compression",Design of semantic-perceptual residual compensation block (SPRC) combined with dense residual connections and strip pooling in a GAN-based framework; adaptive content-aware regional compression,"Ablation and comparative results show strong PSNR, MS-SSIM; semantic compensation modules improve structure and details; use of large, diverse ImageNet and unseen Kodak set","Challenges in semantic interpretation, higher computation time due to SPRC/BPG, semantic block is reliant on VGG, not tested beyond Kodak/ImageNet, possible scalability/future work implied","Combined weighted loss: adversarial (GAN), MSE, SSIM (weighted 10:5:2); sometimes ablation without one; Binarizer regularization included","Unsupervised training task (no labels, only input images used)",Standard GAN (with custom modifications),Discriminator with fully connected layers; generator (decoder) uses upsampling with dense residual blocks; encoder is downsampling with residuals and strip pooling,Pooling (strip pooling) embedded within encoder and decoder; Grad-CAM applied via VGG branch at front end for SPRC module,"Compared against JPEG, JPEG2000, BPG, Balle's, Lee's, and ablations of their own model; GDAE+SPRC yields superior scores; full ablation table included","Not specified; Kodak images of different sizes and contents"""," blocks of 16×16 for SPRC but not input resolution""","JPEG, JPEG2000, BPG, Balle’s 2018, Lee’s 2019, baseline auto-encoder","Encoder and decoder: Conv-BN-LeakyReLU stacks, strip pooling, dense residual connect paths (6 in encoder, repeated in decoder), upsampling with deconv; custom quantizer; VGG-16 (for SPRC)",Not specified,Tested Kodak after ImageNet training; demonstrates generalization from ImageNet to Kodak,"Training/inference times, BPG step is time-consuming; computation on a dual RTX2080Ti GPU; code optimization or high-res scalability not discussed","SGD optimizer, momentum 0.95, poly learning rate decay (power 0.6), initial LR 0.0005, batch size 32",Reported no stability issues; regularization via binarizer loss; stable convergence with weighted loss; GAN does not affect inference time,"Extract explicit convolutional, semantic (VGG, Grad-CAM) feature maps; semantic heat maps define ROI for adaptive compression",,,,,,,,,,,,
An Investigation of Time-Frequency Representation Discriminators for High-Fidelity Vocoder,"2024, Gu et al.",Audio generation (speech & singing voice vocoding),"LibriTTS, LJSpeech, VCTK, M4Singer, PJS, Internal Dataset (CN), OpenSinger, PopCS, Opencpop, CSD","HiFi-GAN, NSF-HiFiGAN, BigVGAN, APNet (all with proposed or baseline discriminators)","Constant-Q Transform (CQT) and Continuous Wavelet Transform (CWT), applied in Multi-Scale Sub-Band and Temporal-Compressed discriminator modules","Singing voice MOS: up to 3.80, FPC: 0.972, F0RMSE: 36.137, PESQ: 3.040 (HiFi-GAN+S+C+W). Speech MOS: up to 4.19, FPC: 0.882, F0RMSE: 178.665, PESQ: 3.257. NSF-HiFiGAN/BigVGAN/APNet also improved with MS-SB-CQT/CWT/STFT. Preference gains, e.g., BigVGAN +S+C+W: 84.21% seen, 95.74% unseen.",Proposed MS-SB-CQT and MS-TC-CWT discriminators improve synthesis quality and pitch/phase modeling; joint TFR-based discriminators further boost performance and generalization.,"Joint TFR-based discriminators demonstrated improved robustness and generalization across speakers, singers, and multiple GAN vocoders. Enhanced unseen case performance.",CQT-based discrimination may degrade generalization for non-musical signals (speech); APNet remains challenged on phase modeling. General computational/memory costs; further optimization/future work possible.,"Adversarial loss, feature matching loss, mel spectrogram loss",Supervised training,cGAN (conditional GANs are implied by vocoder setup),"Multi-Period Discriminator, Multi-Scale Discriminator, Multi-Scale STFT Discriminator, MS-SB-CQT Discriminator, MS-TC-CWT Discriminator; generators: ConvNet-based as per HiFi-GAN, NSF-HiFiGAN, BigVGAN, APNet",CQT Sub-Band and CWT Temporal Compressor modules applied in discriminator input branches; in discriminator pre-processing and latent projection,"Direct comparison with HiFi-GAN, HiFi-GAN (+S/C/W/S+C+W), NSF-HiFiGAN, BigVGAN, APNet; ablations (w/o modules); demonstrates state-of-the-art or improved results","Audio resampled to 24kHz; mel-specs 100 bins; spectrogram configs: fft=1024, hop=256 (CQT/CWT input sizes not numerically specified, but typical input: variable-length audio → (freq, T))","HiFi-GAN (MSD+MPD), baseline discriminators (MS-STFT), and same-architecture GAN-based vocoders","Generator: Conv2D stacks, dilations, weight normalization, LeakyReLU after each block","Code available: https://github.com/jik876/hifi-gan, https://github.com/MoonInTheRiver/DiffSinger, https://github.com/NVIDIA/BigVGAN, https://github.com/yangai520/APNet, https://github.com/facebookresearch/encodec","Tested on seen and unseen speakers/singers and across LibriTTS, LJSpeech, VCTK, M4Singer, etc.","Memory complexity discussed for CWT (compressed by TC module); all models tested on multiple large datasets; no issues reported, but optimization left for future","AdamW optimizer (β1=0.8, β2=0.99), exponential decay scheduler, lr=0.0002, batch=16, 1.5M steps, 4x NVIDIA GPUs",Stable training observed; weight normalization used; ablation on modules reveals module efficacy; no major convergence issues reported,CQT latent representations learn temporal synchronization and dynamic frequency attention; CWT representations learn energy-preserving compression; discriminators leverage frequency- and phase-aware features,,,,,,,,,,,,,,
Binarization of Color Document Image Based on Adversarial Generative Network and Discrete Wavelet Transform,"2022, Lin et al.",Document image binarization,"DIBCO 2009, H-DIBCO 2010, DIBCO 2011, H-DIBCO 2012, DIBCO 2013, H-DIBCO 2014, H-DIBCO 2016, PHIBD, SMADI, Bickley Diary","GAN with U-Net-based generator, EfficientNet encoder, PatchGAN discriminator",Discrete wavelet transform (DWT) applied to extract LL frequency band for each color channel in the generator's encoder,"DIBCO 2011: FM 87.71, p-FM 90.11, PSNR 19.64, DRD 3.47; DIBCO 2013: FM 94.88, p-FM 96.19, PSNR 22.32, DRD 1.95; DIBCO 2014: FM 96.88, p-FM 98.03, PSNR 22.68, DRD 0.89; DIBCO 2016: FM 91.49, p-FM 96.46, PSNR 19.68, DRD 2.92",Improved document binarization quality over classical and recent methods; maintained color and textual information while reducing background noise,"Combining discrete wavelet transform with multi-channel GAN; two-stage architecture fusing local and global binarization using U-Net and EfficientNet in generator, PatchGAN discriminator","Demonstrated superior performance with limited training data; uses U-Net for better generalization and to avoid overfitting, leverages data augmentation","May depend on data augmentation quality; complexity of multi-stage, multi-channel design; explicit runtime or scalability discussion is lacking","Adversarial loss (GAN-based), implied pixel-level loss (not explicitly stated)",Supervised training with paired ground-truth binarization targets,cGAN (conditional GAN),PatchGAN discriminator; U-Net-based generator with EfficientNet encoder,Wavelet transform applied in the encoder of generator at the start of each channel,"Ablation with classical methods: Otsu, Niblack, Sauvola, Vo et al., He et al., Zhao et al.; provided metrics for direct comparison",Not specified,"Otsu, Niblack, Sauvola, Vo et al., He et al., Zhao et al.","Encoder-decoder with skip connections (U-Net), EfficientNet encoder, convolutional layers, multi-channel fusion, PatchGAN",Not specified,"Evaluation includes unseen DIBCO splits; training uses subset, testing on different years (demonstrating cross-dataset generalization within DIBCO family)",Not specified; no explicit mention of computational cost or training time,Not specified; optimizer is unspecified,Model described as robust with improved generalization due to U-Net/skip connections and wavelet features; limited data handled with augmentation; no mention of regularization/convergence specifics,"Learning of LL-band wavelet features, multi-channel color/foreground extraction in generator encoder",,,,,,,,,,,,,
Brain tumor classification for MRI images using dual-discriminator conditional generative adversarial network,"2024, Selvi et al.",Medical imaging – Brain tumor classification (MRI images),BRATS MRI brain tumor dataset (65 images; train/validation split specified),Dual-Discriminator Conditional GAN (DDCGAN),Empirical Wavelet Transform (EWT) for feature extraction prior to GAN; no pooling technique specified,Sensitivity: 99.58% (Normal); Precision: 96.34%-97.14%; F-score: up to 98.25%; Specificity: up to 98.36%; Computational time: 120s; Computational cost: 602kb,"Achieved high sensitivity, precision, and computational efficiency for multi-class brain tumor classification from MRI images; outperformed state-of-the-art baselines in accuracy and speed",Proposed the use of DDCGAN with Border Collie Optimization (BCO) for parameter optimization and EWT for feature extraction to improve performance and computational efficiency in multi-class brain tumor MRI classification,"Model showed improved robustness, accuracy, and stability over baselines, with regularization (dropout, early stopping) and platform independence noted","Requires large, annotated datasets (BRATS) and lacks real-world clinical trial validation; future work suggested for application to clinical data and personalized treatment prediction","Adversarial loss (GAN), conditional loss, with weighting parameters optimized by BCO","Supervised training (with labeled MRI images, train/validation/test split specified); early stopping and dropout used",Conditional GAN (cGAN) with dual discriminators,"Not explicitly detailed, but generator and two discriminators mentioned (architecture details not specified); ReLU activation in use",EWT features extracted before DDCGAN; no wavelet or pooling inside GAN network layers reported,"Compared against KSVM-HHO-BTC, JT-TCDNN-BTC, YOLOv2-CNN-BTC; BCO-DDCGAN-MRI-BTC showed superior sensitivity, specificity, precision, F-score, lower computational time and cost",Not specified (input size/resolution not explicitly stated),"Kernel SVM (KSVM-HHO-BTC), two-channel DNN (JT-TCDNN-BTC), YOLOv2 with CNN (YOLOv2-CNN-BTC)","Not explicitly described; mentions ReLU activation, otherwise not detailed; dropouts and early stopping applied for regularization",Not specified,Tested and compared only on the BRATS dataset; no explicit cross-dataset evaluation,"Computational complexity discussed (O(N³Maxgen f popsize)), lower computational cost and time versus baselines documented; scalability to larger datasets implied but not fully studied",Not explicitly stated; BCO optimization for GAN weights; Adam or SGD not specified,"Training described as stable with regularization (dropout, early stopping); BCO for stability; notes on preventing overfitting and monitoring validation loss/early stop","EWT-derived features: low-level geodesic, texture, entropy, contrast, energy, correlation, homogeneity, and GLISTR posterior maps extracted before GAN processing",,,,,,,,,,,,,
CCDWT-GAN: generative adversarial networks based on color channel using discrete wavelet transform for document image binarization,"2023, Ju et al.",Document image binarization,"Training sets: DIBCO 2009, H-DIBCO 2010, H-DIBCO 2012, PHIBD, SMADI, Bickley Diary; Test sets: DIBCO 2011, DIBCO 2013, H-DIBCO 2016, DIBCO 2017",CCDWT-GAN (GAN framework with U-Net++ and EfficientNet backbone),"Discrete Wavelet Transform (DWT); applied to RGB channel-split input images, retaining LL subband images during preprocessing","DIBCO 2011: FM=94.08, p-FM=97.08, PSNR=20.51, DRD=1.75; DIBCO 2013: FM=95.24, p-FM=97.51, PSNR=22.27, DRD=1.59; H-DIBCO 2016: FM=91.46, p-FM=96.32, PSNR=19.66, DRD=2.94; DIBCO 2017: FM=90.95, p-FM=93.79, PSNR=18.57, DRD=2.94",Achieves top two performance on multiple binarization benchmarks; effective removal of backgrounds and preservation of text in degraded color documents,"Novel GAN-based method that binsarizes each RGB channel separately using DWT-based preprocessing, integrated with multi-stage enhancement and binarization stages",Demonstrated stability and generalization across multiple datasets; ablation studies show effectiveness of each stage; robust to various document degradations,Future work or limitations not specified explicitly; possible lack of OCR evaluation; relies on manually tuned hyperparameters and large training data,Wasserstein GAN loss with Binary Cross-Entropy (BCE) loss; no L1 loss used,Supervised training; pre-training with ImageNet weights for EfficientNet backbone,WGAN,"Generators: U-Net++ with EfficientNet backbone; Discriminator: shared among channels, requires 3-channel input (PatchGAN-like)","DWT applied during input preprocessing to generators, prior to enhancement and binarization stages; pooling/wavelet on input patches","Compared with Otsu, Sauvola, He, Vo, Zhao, Yang, Suh, Tensmeyer, Jemni, Jia, Howe, Bera, Guo; consistently outperforms or matches SOTA, with detailed metric tables","Input sizes: patches of 224×224 for local, 512×512 for global binarization","Pix2Pix GAN, Dual-Discriminator, CNNs (e.g., UNet+EffNet), classic thresholding methods (Otsu, Sauvola, etc.)","U-Net++ generator with EfficientNet-B6 backbone, four independent generators for color/grayscale channels; multi-stage (preprocessing/enhancement/binarization); patch-based inputs; convolutional layers",Not specified,"Yes; tested on datasets different from those used for training, including several standard benchmarks (DIBCO, H-DIBCO, PHIBD, SMADI, Bickley Diary)",Efficient due to patch-based processing and DWT preprocessing; pre-trained EfficientNet enhances scalability; not reported for extremely high-resolution or massive datasets,"Adam optimizer (learning rate 2×10^-4; β1=0.5, β2=0.999)","Stable convergence with WGAN+BCE; effective regularization via normalization, DWT, and data augmentation; ablation studies confirm stability of training and improvement after each stage",Focus on local and global feature extraction via U-Net++ and DWT preprocessing; DWT preserves contour and noise-reduction information; EfficientNet backbone leverages semantic and contextual features,,,,,,,,,,,,,
DWT-GAN Watermarking: Discrete Wavelet Transform domain-based Generative Adversarial Network for Digital Image Watermarking,"2023, Sharma et al.",Digital image watermarking,"PASCAL-VOC 2012 (grayscale, 128x128), watermarked using various DWT wavelets and 4 QR code images as watermarks",DCGAN (with Autoencoder for extraction),"DWT domain using wavelets: “rbio4.4”, “coif2”, “coif5”, “Haar”, “db2”, “db10”, “bior1.1”, “rbio1.1”, “rbio2.4”, “bior2.4”; applied in data pre-processing to generate the dataset and in the wavelet domain during watermarked image creation","MSE as low as 0.1126, PSNR up to 57.61, SSIM up to 0.9922 (at 25000 epochs); Generator BCE loss down to 0.1486","Model achieves high capacity, robustness, and imperceptibility for embedding complex watermarks (QR codes) into images, producing watermarked images visually similar to originals and correctly extracting the watermark","GAN trained on DWT-watermarked image dataset; novel use of multi-wavelet DWT domain examples as training data for GAN-based embedding, enabling embedding of complex QR code watermarks with high fidelity","Shows stable generator/discriminator loss dynamics, low MSE/high SSIM & PSNR after sufficient epochs, and successful extraction and QR code readability in experiments; robust to trained variations and different wavelet types",Limited to only 4 watermark patterns during training; long training time to handle watermark randomness; not tested on different datasets; initial inclination towards frequent watermarks—indicates need for more diverse/flexible training,"Binary Cross-Entropy loss for generator, discriminator, and extractor networks; also experimented with MSE, MAE, and L1 losses but BCE best fit",Supervised training (using paired cover and watermarked images with known watermarks),DCGAN,"Generator: convolutional network with 11 convolutional layers (no pooling), batch normalization, LeakyReLU, Tanh output; Discriminator: convolutional network with 6 conv layers + dense, LeakyReLU, sigmoid output; Extractor: autoencoder with conv/relu, dense, deconvolution, sigmoid output",No explicit pooling; wavelet transforms applied in data pre-processing and on discriminator input; generator operates on concatenated images (not wavelet output),"Compared performance at different epochs, achieving much lower MSE/higher SSIM/PSNR versus initial epochs; no direct comparison to classic baselines in this paper",128×128 (images and QR code watermarks),"DWT-based watermarking methods (used to construct training data), but not directly benchmarked against classic deep learning watermarking models in this paper","Generator: Conv-BN-LeakyReLU stacks, Tanh output; Discriminator: Conv-LeakyReLU, Dense-Sigmoid; Extractor: Conv-ReLU, dense layers, ConvTranspose, Sigmoid",Not specified,Not specified,"Mentions that approach is computationally less complex after training and uses efficient architectures, but not deeply analyzed for very large datasets or higher resolutions","Adam optimizer (β1=0.5, β2=0.999, lr=0.0002 for embedder, lr=0.0001 for extractor); weight decay 0.01",Stable convergence after 10k epochs; uses batch normalization for stability; BCE loss leads to effective training and convergence; weight initialization via Glorot/Xavier,Features learned via multi-wavelet DWT transforms; learned to embed and extract complex QR features under different transforms; generator extracts deep DWT-based embedding patterns,,,,,,,,,,,,,
EdgeWaveNet: Edge Aware Residual Wavelet GAN for OCT Image Denoising,"2021, Sengupta et al.",Medical imaging (OCT image denoising),"SD-OCT image dataset (Fang et al., 2013); 28 images, subsampled to 450×900, with registered ground truth",Custom GAN architecture (generator and discriminator CNNs; inspired by residual and wavelet networks),Discrete Wavelet Transform (DWT) and Inverse DWT (IDWT) for multi-scale feature extraction; applied in generator with residual reconstruction block,"PSNR: 22.85, SSIM: 0.61, Edge Content (Variance of Laplacian): 0.56","Outperformed state-of-the-art denoising and restoration methods in PSNR, SSIM, and preserved edge content; reduced speckle noise while retaining retinal layer information",First wavelet-based deep neural network for OCT denoising combining edge-aware loss (Sobel) with GAN framework and multi-scale feature extraction via wavelets,Multiple local and global residual connections for stable gradient flow; robust hierarchical feature learning; edge preservation compared to existing methods,Denoising with cycle-consistency loss on unpaired data not explored; limited dataset size; future work includes larger datasets and unsupervised approaches,"Adversarial loss, L1 loss, SSIM loss, Sobel edge loss (edge-aware mixed loss)",Supervised,(Standard) GAN,"Generator: multi-scale residual wavelet network (CNN with DWT/IDWT, residual blocks); Discriminator: multiple convolutional blocks",DWT/IDWT applied within generator’s residual reconstruction block to extract multi-scale features,"Compared with NLM, DeBlurGAN, RED-GAN, RDNSR-GAN; shows superior quantitative and qualitative results as per Table 1",256×256 patches (1700 extracted per image),"NLM, DeBlurGAN, RED-GAN, RDNSR-GAN","Convolutional layers, multiple residual blocks (local and global connections); symmetric convolution and deconvolution layers; skip connections",Not specified,Not specified,Discussion indicates good performance and robustness within OCT dataset; no cross-dataset test,"No detailed computational complexity discussion; training reported on NVIDIA GPUs; training time: ~6 hours for 100 epochs, batch size 1","Adam optimizer (learning rate 0.00001, momentum 0.9, linear decay)",Multiple local and global residual connections for stable training; batch size 1 and linear decay for learning rate; no explicit mention of further regularization,Multi-scale wavelet feature extraction and edge-preserving (Sobel) feature-based loss for retinal layer detail retention,,,,,,,,,,,,
Enhancing Low Quality in Radiograph Datasets Using Wavelet Transform Convolutional Neural Network and Generative Adversarial Network for COVID-19 Identification,"2021, Nneji et al.",COVID-19 identification from radiograph images,"Chest X-ray (COVID-CXR from Cohen et al., RSNA), Chest Tomography (Yang et al.), with augmentation","Enhanced Super-Resolution Generative Adversarial Network (ESRGAN), Wavelet Transform CNN","Wavelet transform for noise reduction and feature extraction, applied in multi-level decomposition before convolutional blocks","CXR with augmentation: Accuracy 0.988, Sensitivity 0.994, Specificity 0.987, AUC 0.990, F1-score 0.982, Precision 0.989. CT with augmentation: Accuracy 0.978, Sensitivity 0.981, Specificity 0.979, AUC 0.985, F1-score 0.961, Precision 0.980. Loss: 0.022 (CXR augmented), 0.049 (CT augmented)","Significant improvement in identification accuracy on COVID-19 from low-quality chest X-ray and CT images; robust performance, surpassing other SOTA methods",Novel joint framework of ESRGAN for super-resolution and wavelet transform CNN for noise removal and feature extraction in medical imaging; augmentation strategies for small datasets,Demonstrated high robustness to noise and vanishing gradient; improvement in accuracy with augmented data; stable across both CT and X-ray modalities,Limited dataset size for some experiments; performance relies on availability of annotated images; need for more diverse data for further validation,"Adversarial loss, perceptual loss, content (L1) loss, discriminator loss, sigmoid cross-entropy for classification",Supervised training with data augmentation,SRGAN/ESRGAN (for enhancement); GAN for super-resolution,"Standard discriminator for GAN phase, wavelet-transform-based CNN with multi-level convolutional blocks (kernel sizes: 64, 128, 256) and 1×1 channel-wise convolutions; final FC with sigmoid","Wavelet transform decomposition in the initial stages of CNN, concatenated prior to convolutional blocks (encoder-style feature extraction)","Compares with SOTA: Chen et al., Jin et al., Zheng et al., Tang et al.; achieves higher accuracy, sensitivity, and specificity; ablation with/without augmentations",224×224 (input image size before ESRGAN and wavelet CNN),"Compared against: Chen et al. (2020), Jin et al. (2020), Zheng et al. (2020), Tang et al. (2020) models","Multi-level convolutional blocks with channel-wise 1×1 convolution, concatenations, Conv-layers (kernels: 64,128,256), average pooling, three fully connected layers for final classification",Not specified,Not specified,Discussion on test versus train splits but no explicit cross-dataset tests,"Notes on batch size, learning rate, scalable augmentations and GAN-based super-resolution suggest reasonable computational approach, but no explicit scalability analysis",Adam optimizer (learning rate 0.0001),Model showed stable convergence and improved with data augmentation; no explicit mention of additional regularization,"Features extracted through multi-level wavelet transform decomposition, capturing image detail and suppressing noise prior to final CNN classification",,,,,,,,,,,,
